ssp,model,ensemble,gwt,exceedance_year
ssp119,UKESM1-0-LL,r8i1p1f2,5.0,NA
ssp119,UKESM1-0-LL,ens-mean,5.0,NA
ssp119,multimodel-mean,multi-ens-mean,5.0,NA
ssp245,BCC-CSM2-MR,r1i1p1f1,5.0,NA
ssp245,BCC-CSM2-MR,ens-mean,5.0,NA
ssp245,CanESM5,r1i1p2f1,5.0,NA
ssp245,CanESM5,r2i1p2f1,5.0,NA
ssp245,CanESM5,r3i1p2f1,5.0,NA
ssp245,CanESM5,r4i1p2f1,5.0,NA
ssp245,CanESM5,r5i1p2f1,5.0,NA
ssp245,CanESM5,ens-mean,5.0,NA
ssp245,CNRM-CM6-1,r1i1p1f2,5.0,NA
ssp245,CNRM-CM6-1,r2i1p1f2,5.0,NA
ssp245,CNRM-CM6-1,r4i1p1f2,5.0,NA
ssp245,CNRM-CM6-1,r5i1p1f2,5.0,NA
ssp245,CNRM-CM6-1,ens-mean,5.0,NA
ssp245,GFDL-CM4,r1i1p1f1,5.0,NA
ssp245,GFDL-CM4,ens-mean,5.0,NA
ssp245,MIROC6,r1i1p1f1,5.0,NA
ssp245,MIROC6,r2i1p1f1,5.0,NA
ssp245,MIROC6,r3i1p1f1,5.0,NA
ssp245,MIROC6,ens-mean,5.0,NA
ssp245,UKESM1-0-LL,r1i1p1f2,5.0,NA
ssp245,UKESM1-0-LL,r2i1p1f2,5.0,NA
ssp245,UKESM1-0-LL,r3i1p1f2,5.0,NA
ssp245,UKESM1-0-LL,r4i1p1f2,5.0,NA
ssp245,UKESM1-0-LL,r8i1p1f2,5.0,NA
ssp245,UKESM1-0-LL,ens-mean,5.0,NA
ssp245,multimodel-mean,multi-ens-mean,5.0,NA
ssp370,BCC-CSM2-MR,r1i1p1f1,5.0,NA
ssp370,BCC-CSM2-MR,ens-mean,5.0,NA
ssp370,CanESM5,r1i1p2f1,5.0,2074
ssp370,CanESM5,r2i1p2f1,5.0,2073
ssp370,CanESM5,r3i1p2f1,5.0,2075
ssp370,CanESM5,r4i1p2f1,5.0,2074
ssp370,CanESM5,r5i1p2f1,5.0,2075
ssp370,CanESM5,ens-mean,5.0,2074
ssp370,CNRM-CM6-1,r1i1p1f2,5.0,NA
ssp370,CNRM-CM6-1,r2i1p1f2,5.0,NA
ssp370,CNRM-CM6-1,r4i1p1f2,5.0,NA
ssp370,CNRM-CM6-1,r5i1p1f2,5.0,NA
ssp370,CNRM-CM6-1,ens-mean,5.0,NA
ssp370,MIROC6,r1i1p1f1,5.0,NA
ssp370,MIROC6,r2i1p1f1,5.0,NA
ssp370,MIROC6,r3i1p1f1,5.0,NA
ssp370,MIROC6,ens-mean,5.0,NA
ssp370,UKESM1-0-LL,r1i1p1f2,5.0,2085
ssp370,UKESM1-0-LL,r2i1p1f2,5.0,2082
ssp370,UKESM1-0-LL,r3i1p1f2,5.0,2082
ssp370,UKESM1-0-LL,r4i1p1f2,5.0,2085
ssp370,UKESM1-0-LL,r8i1p1f2,5.0,2083
ssp370,UKESM1-0-LL,ens-mean,5.0,2083
ssp370,multimodel-mean,multi-ens-mean,5.0,NA
multissp-mean,multimodel-mean,multiens-mean,5.0,NA
