TOA_with,Temp_with,TOA_without,Temp_without
0.96442610964978,6.6350235183165,0.984367869435743,5.84532451937816
1.23593241328719,5.72974271595741,1.17903855822408,6.07489349018099
1.41197030929066,5.51067403406386,1.43859947660853,5.35184223674236
1.56358463955234,5.33060869719465,1.73122945430638,4.84765550112863
1.68088010260657,5.09017469482361,1.76305062458909,4.4147323600629
1.80928551615005,4.68765815422549,1.89782263990409,4.7292003957979
1.85433216520877,4.92171271289915,2.09035409035409,3.95142499075928
2.00980671487218,4.74800580640774,2.20480334145493,4.03125758274638
2.13955743575736,4.47371994657523,2.47060370499285,3.51785381700667
2.24191512622834,4.29742099708201,2.63990065015706,3.38188098749921
2.28262354353926,4.43581962293827,2.78694357427389,3.15506599618729
2.40622372737887,4.18304316772341,2.7513787368991,3.46793155978897
2.56258758884157,3.89813550452776,2.91160768844027,2.79920304639872
2.68831350268776,3.74069089434992,2.91610008895077,3.10430278350817
2.79702737274126,3.78983188813697,3.03402560235139,2.9047447829856
2.85382807757628,3.39057953563661,3.09851877634683,2.61460207501483
2.86893642059208,3.47920582690559,3.14072011447577,2.98832945553263
2.99749462137901,3.42098525633635,3.18314834151938,2.47002209462865
3.08352550336676,3.21110836586451,3.23056812468577,2.71609363695447
3.10147427539866,3.76462407648848,3.39528947673744,2.3415680501671
3.16010218259514,2.92210603493896,3.45518815021077,2.90926685890597
3.2131816453835,3.36507191490242,3.51508682368411,2.1261647504049
3.25913884591639,3.05725997077087,3.56833008899374,1.89150682726226
3.28886243433065,2.54656319198692,3.64985883899911,1.8917564050684
3.34627249065418,2.87096899602953,3.51131221719457,1.98165029614097
3.46985804346755,2.63456413766572,3.43891402714932,2.29402199904352
3.45573214422666,2.34630905817346,3.31825037707391,2.41138947136078
3.61273619301358,2.69024981415619,2.9079939668175,2.68556082845896
3.61309941126185,2.43465325634817,2.9079939668175,2.68556082845896
3.62755494049371,2.1488652155053,2.763197586727,3.1346944781665
3.74751113975409,2.33761459468827,2.69079939668175,3.19340764448369
3.34711616067548,3.13801452784504,2.69079939668175,3.19340764448369
3.13038905262235,3.44794188861986,2.57013574660633,3.38882389728875
2.93750251078267,3.56416464891041,2.53393665158371,3.42793657800832
2.64849407820495,3.95157384987893,2.4132730015083,3.66237722105728
2.64808504888266,3.68038740920097,3.02865761689291,2.84136408784902
2.64808504888266,3.68038740920097,3.00452488687783,2.70483758231248
2.67248072631921,3.8547215496368,2.9079939668175,2.91970716992238
2.35925191458591,4.18401937046005,3.10105580693816,3.13387043372696
3.53976897147386,2.86682808716707,2.9079939668175,3.2709266821175
3.51557780869845,2.82808716707022,2.78733031674208,3.58341610565427
3.51557780869845,2.82808716707022,2.52187028657617,3.66211234963028
3.39491415862303,2.82808716707022,2.60633484162896,3.58385755803259
3.52746887542501,2.71186440677966,2.42533936651584,3.79893315675238
3.69601817258846,2.46004842615012,,
3.64789879445911,2.55690072639225,,
3.56343423940632,2.55690072639225,,
3.33446546806467,2.75060532687651,,
3.25026386043335,2.92493946731235,,
3.37048926480631,2.63438256658596,,
3.78016134745945,2.24697336561743,,
3.70770472465388,2.20823244552058,,
3.63548183288961,2.32445520581114,,
3.51511034661583,2.5181598062954,,
3.40715582191156,2.94430992736078,,
3.4793202809155,2.78934624697337,,
3.80382661539192,1.93704600484261,,
